Gene,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
abcf1,-0.23826471701662869,0.0,-0.9110987364825185,-0.9729053128292968,-1.1502323038017912,0.24469931591742547,0.13594802275141765,-0.3841433957888673,-1.2922537147411117,-0.7602524243439613,-0.5121356075033683,-0.47814558729683726,0.42060244659532053,0.564649990537093,-1.305470333848313,0.18446699440382672,-0.4981998264253103,-0.4441176454740652,-0.18333869829941254,-1.0175458896696294,0.7324644301805296,-1.9189612478601634,0.0,0.0
abcf2,-1.602366104208226,0.0,-1.1472515123015103,-0.14968330426361698,-1.259814607732028,-0.09093334235524479,-0.36896908988786653,-0.08967382956919433,-0.3126909200915934,0.5047413839500553,0.29738859740456874,0.11720245699129937,0.5896974702923355,-0.17096153815271684,0.8223855222579973,0.17155596655165822,0.4235470195416191,0.018098458228964217,-0.24058701998794677,0.0,0.0065414121756935326,0.6638479955796358,1.2582904382211173,-1.0739869076476145
abcf3,-0.6943088251357059,0.0,1.227589658241099,0.08156401592705913,-0.10162591122536137,-0.04084579816206718,0.9739902078015716,-1.279329056655545,-1.0922751416478482,-0.32788650837587086,-0.03851480936803247,0.1662294966623855,-0.8451969848657671,-0.33349408602299146,-0.09060305095298343,0.3060778180037761,-1.2849203721989912,-1.6632372149644188,-0.22464660126904207,-0.5517208825520473,-2.6140371478726188,-0.629926154727643,0.0,0.0
abhd10,-0.0971853209876098,0.0,0.0,0.10521947438892741,-0.21962873140337322,-0.6106733373026727,1.1789952273973483,0.6291988546972668,0.0,0.3233861370962874,0.9004492454670735,-0.019363018464461475,0.29242867876291884,-0.026896765843131203,0.5209492008302155,0.3937983169565978,1.467513007307656,0.8949374676090798,0.3135494732296086,0.20097873503189823,0.7237173280792274,-0.14772132754812253,0.0,0.0
abhd11,0.4812318763132222,0.0,0.0,0.2586459993659379,0.6700237555574966,-1.2481355043102094,0.0,1.497205158485126,1.0526032362677185,1.245252418558985,1.006030741411669,-0.01667003380052896,0.9059914776526445,0.07966070075746053,2.534204286257326,-0.07406766873911508,1.3877974181208628,0.9550580315024197,0.08302375459972212,0.4740812582713503,0.2544222098313229,-0.5172047403847779,0.0,0.0
abhd12,-0.017820933395189073,0.0,0.0,-0.029550067829115692,-0.5749172710991759,0.0,0.6479959168471267,-1.6174265606987748,-0.4939641650479389,-1.2787022361494453,-0.4727482571165001,0.2185643286784477,-1.2613976181223419,0.20314420001441674,-1.1125410322338276,0.41527776464788424,-1.4990021057506728,-0.5012266135863763,-0.1319657752078767,0.18894227780027148,-1.5697858471127175,-1.962923297458018,-1.447087355772836,-0.9066233735250597
abhd13,-0.06463389488863738,0.0,-1.7202263409943463,-0.041181076675109896,0.050924823465470545,0.0,-1.056666829731167,0.8600454416260105,0.7541693308189978,1.2032698733730722,0.8518147107755056,0.6315901099797068,1.1645707235897453,0.0,1.3376943173622369,0.0,0.9233710104342354,0.855450646695131,0.0,0.0,-2.1137200831003393,0.6177492358227311,1.0962707571084223,0.0
abhd16a,-0.3634356027377344,0.0,0.0,0.2847582677261368,0.08748548391316194,0.5023066036286029,-0.2135669659133959,0.3619907175739302,-0.610149804307731,-0.00849055049374284,0.372839560648445,0.028509582859733845,1.304399978041815,0.3264144250937847,-0.006067449519958421,1.486981871958265,0.14461157248701645,-0.12605338812811753,0.14898495403491624,0.3245416877537414,0.5840544290904162,-0.8344394934616849,0.0,0.0
abhd17b,-0.7031462043224735,0.20278243045170988,-0.19362405068124156,-0.06767743666447498,0.47432072621667637,-0.08671096336517177,0.2515893569957494,0.0,1.777259599282249,2.1713357026110267,1.5953495510572404,1.1032188804687701,0.9204312347735629,0.0,2.30362473997571,0.0,1.8791148023377298,1.0751880332976254,2.1977422843913215,0.0,0.3673296125781555,0.5495723543334564,-0.42828289479393583,1.9722010280478826
abhd17c,0.2765585243839056,0.0,-0.538621306579427,-0.09029240039039732,-0.07619349446320839,0.0,0.4580662165684615,0.0,-0.49355773217735754,0.8164939019668367,0.3431406882385153,0.566428224736954,0.6201850309156862,0.0,0.30707672715375767,0.0,1.4740901615715274,1.6862015797300727,0.0,0.0,1.0165006157101133,1.556937095042037,0.0,0.0
abhd2,0.03411130412874446,0.0,0.0,0.0,-0.25404819275117424,0.0,1.9857098934831148,0.0,-0.4554995799019845,-0.043721127656086205,0.14085461045120948,-0.2499017380226103,-1.79418708344216,0.0,-0.41039668638100557,0.0,-0.9255415906338521,0.33394565322116054,0.0,0.0,-1.7474308868475783,-0.6741532467697395,-0.9014364311238608,0.19476780849066697
abhd3,0.9017210803039117,0.0,0.0,0.48118141046992474,1.6566443300730744,0.0,0.0,1.8569794916444358,3.8892431777516667,2.6012034344943396,1.484350700075115,3.462475362784915,1.0533222040612495,0.0,0.9099493700093214,0.0,2.0443623974409126,3.0828950921806846,0.0,0.0,-0.010133978617848378,1.132325817392398,1.1482170686207,0.8735346415030025
abhd4,-0.17999640269762332,0.0,0.0,-0.20359702726698115,-0.13599125626025715,0.0,0.42488500896071574,-0.026901264622389724,-0.6438535327816328,-0.006369037572030164,0.29369489332030213,0.27750637900217723,0.7541868759930053,0.0,-0.9527424044131204,1.450102566538469,0.36100048308109317,-0.44158690298533476,-0.26809449239639555,0.0,0.29151304262423344,0.0,0.0,0.0
abhd5,1.3001648206688652,-0.5083753905996952,0.0,0.29618208875617413,1.6489483439652788,0.0039113316909562814,0.4215864819982286,-1.3044651985961808,-1.248863567350156,-0.3592110632381965,-0.3176046560474649,-0.19952605203380622,-0.636004205770097,0.0,-1.0249771844825033,-1.043910377778371,-0.6377690466356873,-0.2956400573522867,-0.13870265489187378,0.0,-0.9327255401205059,-1.1202028667941302,0.0,2.416896324454543
