geneid,CAT1,CAT2,CAT4,CAT5,CAT16,CAT36,CAT7,CAT12,CAT13,CAT25,CAT34,CAT38,CAT39,CAT11,CAT14,CAT17,CAT19,CAT21,CAT22,CAT26,CAT27,CAT28,CAT32,CAT33,CAT35,CAT20,CAT23,CAT24,CAT30,CAT31
med17,0.33759404,1.557632662,0.682845076,1.909765119,1.029106071,0.900596057,-1.296896449,0.0,-1.057790823,-0.13315667,-1.373576693,0.611787496,-0.793988364,-1.145521429,-0.682752125,-0.406593046,-0.015652329,-0.072848697,0.096275084,-0.073130251,-0.639288528,0.256226953,-0.825696591,-0.892676289,-0.289127973,0.0,0.779257066,1.492236978,0.540212979,0.0
med18,0.0,1.735999164,0.700593827,0.0,0.0,0.0,-1.298122484,0.0,0.329143776,0.528171018,-0.395769351,-0.558333672,-0.824431428,0.751440544,2.366852195,1.565798104,1.311466518,1.243317277,0.04694326,0.0,0.307076727,0.0,0.305255766,-0.816207693,1.060211208,0.0,-1.568140939,0.442622352,2.202871496,-0.590689818
med19,0.0,0.361933511,-0.451132638,0.457888611,0.568280172,0.0,0.467134787,1.32104854,0.682191785,0.718830605,1.44562724,0.658116407,0.709913282,-0.139789879,0.791361476,0.409568734,0.555761219,-0.122710044,-0.040898102,0.0,0.005640406,0.0,-0.037407487,0.536766273,-0.201392873,0.0,-0.334554851,-1.011170729,0.0,-0.756436146
med20,0.0,-0.029337704,1.01167144,-1.112539227,0.435084403,0.0,-0.488437543,0.0,0.0,-0.139373661,-1.144817422,-0.617316291,-1.043404618,0.789035828,0.0,1.267572245,0.903726087,1.06154832,1.398710598,1.083792232,1.368042753,1.718566057,0.884233022,0.91519858,1.246791359,0.0,-0.013782081,0.742685217,-0.625619814,-0.812268272
med21,0.0,0.758340246,0.234194034,1.040719318,1.002699328,1.365979687,0.0,0.0,0.0,-0.254171288,0.0,0.0,0.0,1.063980022,1.313488501,0.842839657,0.682499952,0.179246878,-0.262756752,1.600200039,0.219512879,2.107775795,0.63002618,0.113893554,1.114128131,0.0,0.513110084,1.309075641,0.669259957,-0.945796732
med22,0.0,-1.311094525,1.29067827,0.143671514,0.0,0.0,0.39874222,0.0,0.0,0.217771827,0.792980488,1.185871218,-0.73671765,0.609586511,0.837435811,1.096775685,0.817972727,0.672250639,1.010592169,1.419184436,1.146015535,0.733521608,1.352166854,1.003536955,0.895557017,0.0,-0.783464577,0.669162957,0.0,0.0
med23,0.0,-0.529565165,-0.942903828,0.0,-0.08888889,-0.802264391,-1.112388496,0.0,0.0,-0.330079073,-0.83606382,-0.835747101,0.362228304,-0.199564883,-0.064225041,0.305339143,0.335832763,-0.082158944,0.378715102,-0.271878962,0.260304485,0.783585196,0.925246792,-1.409554099,-0.196214192,0.0,0.111761452,1.38459348,0.498783678,0.0
med24,0.576573343,0.935002096,1.272540519,-0.082135981,0.622717316,0.348827741,-1.138755468,0.0,-1.078509744,-0.100196591,-0.130330131,-0.35685086,-2.461719544,-1.06293376,0.03241269,0.33558729,0.2279458,-0.100336435,0.041893321,0.0,0.280988666,1.344876671,0.767383556,0.0,0.0,0.0,0.16682118,-0.428382004,0.562739453,0.0
med25,-0.136119129,0.133055962,0.292966142,-1.07979827,0.780286939,0.51485322,-0.428431827,0.0,0.623204976,0.167222202,0.346535693,-0.0632584,1.267114321,0.45595314,-0.31361405,0.611761472,0.644286729,0.153449011,1.351452863,0.0,0.576043546,0.0,1.397471728,0.513144147,-0.40197424,0.0,0.487255361,1.212537727,0.150627397,0.897860207
med26,0.0,-1.139439827,0.286409082,0.0,0.590825333,0.0,-1.384737446,-1.102054359,-0.573127407,-0.123483068,-0.999513268,2.527083697,-0.374465375,-0.666791128,0.0,-0.567832373,-0.186742259,0.085700289,-1.087070799,0.0,-0.184629024,0.0,-1.440892943,-1.176931861,0.0,0.0,-2.06118684,0.784207207,-1.437628049,0.0
